name,city,country,date,near,display
Staying Home,,,, 2020,y
,Dagstuhl,DE,Oct. 28-02, 2018,n
,VIS,DE,Oct. 19-25, 2018,n
MI2,Paris,, Oct. 19, 2017,n
ANR,Paris, Oct. 1-2, 2018,n
Lancaster,UK, Aug. 1-3, 2018,n
MI2,Paris,, Jul. 12, 2017,n
,CHI,CA,Apr. 21-26, 2018,n
PLACED,Aarhus,DK, Apr. 14-16, 2018,n
MI2,Paris,, Jan. 16, 2018,n
MI2,Paris,, Dec. 19, 2017,n
MI2,Paris,, Nov. 29, 2017,n
MI2,Aix en Provence,, Oct. 18, 2017,n
PLACED,Goteborg,SE, Oct. 09-11, 2017,n
MI2,Paris,FR, Oct. 04, 2017,n
Interact'17,Mumbai,India, Sep. 25-30, 2017,n
SummerPIT,Aarhus,DK, Aug. 13-18, 2017,n
,UC San Diego,US, June-July, 2017,n
,Dagstuhl,DE,Apr 17-20, 2016,n
PLACED,Copenhagen,DK,Mar 30, 2017,n
VIS'16,Baltimore,US,Oct. 23-28, 2016,n
AG AFIHM,Paris,FR,Jul 8, 2016,n
REPI,Paris,FR,Jun 28, 2016,n
,Copenhagen,DK,Jun 22-25, 2016,n
,Gothenburg,SE,Jun 15-22, 2016,n
,Dagstuhl,DE,Jun 05-10, 2016,n
,Aarhus,DK,May 22-24, 2016,n
,Saclay,FR,May 17, 2016,n
ITS'15,Madeira,PT,Nov 15-18, 2015,n
IHM'15,Toulouse,FR,Oct 27-30, 2015,n
,Dagstuhl,DE,Sept 01-05, 2014,n
NordiCHI PC,Helsinki,FI,Jun 26-27, 2014,n
IHM'13,Bordeaux,FR,Nov 12-15, 2013,n
LMU,Munich,DE,Oct 28-31, 2013,n
ITS'13,St Andews,UK,Oct 6-8, 2013,n
LMU,Munich,DE,Oct 27-30, 2013,n
ITU,Copenhagen,DK,Sep. 21-24, 2013,n
Interact,Cape Town,SA,Sep. 2-6, 2013,n
